startup_id,industry,founding_year,macro_climate,market_size_score,competition_intensity,founder_prior_exits,prior_failures,domain_experience_years,technical_cofounder,n_cofounders,cofounder_conflict,team_completeness,age_of_founder,funding_path,total_raised_usd,monthly_burn_rate,runway_months,product_market_fit_score,did_customer_validation,premature_scaling,pivots,unit_economics_score,marketing_effectiveness,weekly_hours,years_to_outcome,failure_reason,outcome,survived_5y,failed
STP000081,hardware,2021,3.0,5.0,6.3,0,0,3.3,1,1,1.6,5.4,29,bootstrapped,20000.0,1000.0,20.0,6.2,1,0,3,10.0,6.8,49,2.8,ran_out_of_cash,failed,0,1
STP000082,hardware,2015,7.4,7.1,4.4,0,0,6.0,1,1,2.1,9.7,33,bootstrapped,30000.0,1100.0,27.3,6.0,1,1,1,5.2,8.1,60,3.4,team_conflict,failed,0,1
STP000083,food_bev,2016,5.1,1.8,7.1,1,0,1.3,0,2,1.5,4.4,37,bootstrapped,48000.0,2000.0,24.0,6.9,0,0,3,7.3,3.4,69,10.3,survived,still_operating,1,0
STP000084,agriculture,2018,3.3,3.9,4.2,0,0,7.5,0,3,2.6,4.4,41,angel,176000.0,8600.0,20.5,6.2,1,1,0,4.6,1.2,55,6.6,team_conflict,failed,1,1
STP000085,fintech,2010,8.3,6.1,2.8,0,1,7.7,1,3,5.0,5.0,48,angel,91000.0,4400.0,20.7,4.1,0,0,1,2.9,7.9,52,7.3,survived,still_operating,1,0
STP000086,agriculture,2009,4.8,6.5,5.0,0,0,2.4,1,1,2.5,5.3,41,vc_seed,820000.0,205000.0,4.0,4.0,0,0,2,7.1,7.4,60,5.4,ran_out_of_cash,failed,1,1
STP000087,food_bev,2014,4.9,3.3,3.5,0,0,4.6,0,4,3.4,5.0,29,bootstrapped,13000.0,2500.0,5.2,5.6,1,0,2,6.5,4.3,72,1.0,outcompeted,failed,0,1
STP000088,tech_saas,2017,6.5,6.5,7.1,0,0,6.1,1,2,2.5,2.7,42,vc_seed,581000.0,78600.0,7.4,4.0,0,0,1,7.1,6.3,75,3.7,team_conflict,failed,0,1
STP000089,tech_saas,2020,2.1,4.0,8.1,0,0,4.9,0,1,0.7,6.3,34,bootstrapped,4000.0,500.0,8.0,3.3,0,0,0,7.6,6.0,60,1.2,no_market_need,failed,0,1
STP000090,food_bev,2012,8.6,3.5,6.0,0,0,3.7,1,4,1.4,3.8,32,bootstrapped,1000.0,500.0,2.0,5.1,0,0,1,7.3,5.2,84,8.9,survived,still_operating,1,0
STP000091,tech_saas,2016,2.9,2.7,4.4,2,0,4.2,0,3,0.0,4.3,28,bootstrapped,52000.0,5100.0,10.2,2.8,0,0,0,6.8,7.2,64,6.4,survived,still_operating,1,0
STP000092,food_bev,2015,7.6,2.1,5.1,1,0,2.4,0,1,2.7,6.5,30,vc_series_a_plus,2936000.0,151600.0,19.4,3.9,1,1,2,5.6,7.0,64,15.1,survived,still_operating,1,0
STP000093,healthtech,2014,4.0,7.8,7.9,0,1,3.8,1,2,9.4,2.5,41,bootstrapped,26000.0,1400.0,18.6,6.2,0,0,0,5.7,4.3,71,6.1,survived,acquired,1,0
STP000094,agriculture,2018,5.8,5.8,7.1,1,0,1.2,0,2,2.1,1.1,36,angel,199000.0,14600.0,13.6,6.2,0,0,2,3.1,7.4,59,1.1,team_conflict,failed,0,1
STP000095,hardware,2012,2.1,6.3,4.2,0,1,4.3,0,2,5.0,8.3,38,angel,146000.0,5900.0,24.7,3.7,0,0,1,4.9,4.1,48,4.2,survived,still_operating,1,0
STP000096,tech_saas,2018,3.9,8.8,4.0,0,1,5.0,0,2,4.8,4.2,25,vc_seed,680000.0,22500.0,30.2,5.1,1,1,2,1.0,3.5,57,6.4,survived,still_operating,1,0
STP000097,tech_saas,2020,2.7,6.2,8.7,0,1,4.3,1,3,1.4,6.3,43,vc_series_a_plus,1186000.0,50500.0,23.5,1.5,0,1,2,7.9,8.1,52,3.9,team_conflict,failed,0,1
STP000098,ecommerce,2019,2.9,3.2,10.0,0,1,4.8,0,1,4.4,6.0,29,vc_series_a_plus,9270000.0,2317500.0,4.0,10.0,1,1,0,7.2,2.9,70,3.8,ran_out_of_cash,failed,0,1
STP000099,ecommerce,2021,4.8,3.1,2.8,0,2,2.8,1,2,6.8,4.6,34,vc_seed,896000.0,51200.0,17.5,3.6,0,1,0,3.3,2.8,56,1.6,no_market_need,failed,0,1
STP000100,ecommerce,2015,8.3,2.8,2.1,0,1,0.5,1,2,8.8,6.9,23,vc_seed,1662000.0,71400.0,23.3,2.2,0,0,1,4.4,1.3,50,3.4,pricing_cost,failed,0,1
STP000101,fintech,2016,1.9,6.5,5.0,0,1,8.3,0,3,4.2,5.8,34,vc_seed,483000.0,18800.0,25.7,5.8,0,0,0,6.9,2.6,69,3.7,survived,still_operating,1,0
STP000102,agriculture,2011,1.9,3.8,5.8,1,0,6.8,1,1,7.7,2.8,39,bootstrapped,9000.0,700.0,12.9,2.9,1,1,2,7.2,8.3,67,8.6,no_market_need,failed,1,1
STP000103,tech_saas,2020,4.9,7.1,6.8,0,1,4.7,1,2,5.0,6.2,36,bootstrapped,27000.0,800.0,33.8,4.0,0,0,0,10.0,6.8,57,4.3,survived,still_operating,1,0
STP000104,services,2020,3.0,4.2,2.7,0,0,2.8,0,1,4.7,6.3,40,vc_seed,2160000.0,226400.0,9.5,5.9,0,0,0,8.7,5.0,60,2.6,team_conflict,failed,0,1
STP000105,fintech,2021,7.7,4.8,6.6,1,0,3.4,0,2,2.0,6.0,35,angel,30000.0,1500.0,20.0,3.0,0,0,2,4.0,5.5,74,5.6,no_market_need,failed,1,1
STP000106,biotech,2017,5.5,10.0,5.0,0,0,2.5,0,2,5.9,2.5,39,angel,12000.0,800.0,15.0,7.4,1,1,3,5.9,7.3,28,7.5,survived,still_operating,1,0
STP000107,marketplace,2020,4.3,1.6,6.5,2,0,3.3,1,2,1.8,3.6,34,angel,206000.0,16700.0,12.3,7.4,1,0,3,2.8,7.4,70,18.0,survived,still_operating,1,0
STP000108,consumer_app,2015,4.4,1.7,4.5,1,0,2.7,1,2,6.6,2.0,53,vc_seed,2497000.0,188300.0,13.3,5.8,0,1,0,1.8,2.9,76,1.9,team_conflict,failed,0,1
STP000109,services,2020,4.2,8.2,6.1,0,0,1.6,1,2,6.1,4.2,26,bootstrapped,11000.0,1000.0,11.0,6.6,1,1,1,5.2,4.8,52,9.1,ran_out_of_cash,failed,1,1
STP000110,fintech,2018,6.5,1.9,3.5,2,1,8.7,0,2,2.4,6.0,38,bootstrapped,10000.0,500.0,20.0,5.9,0,1,0,2.3,6.7,62,11.5,survived,still_operating,1,0
STP000111,consumer_app,2013,8.7,6.3,4.5,1,0,4.4,0,1,1.5,5.2,33,vc_seed,1039000.0,115300.0,9.0,2.9,0,1,1,6.3,5.2,80,3.6,legal_regulatory,failed,0,1
STP000112,marketplace,2012,6.4,3.3,7.5,0,0,8.0,1,2,1.4,7.6,32,angel,484000.0,44600.0,10.9,6.2,0,1,1,4.6,6.1,48,6.7,ran_out_of_cash,failed,1,1
STP000113,fintech,2021,7.0,7.0,5.0,1,0,1.3,1,2,1.9,6.6,27,angel,30000.0,1600.0,18.8,2.4,0,0,0,6.3,5.4,68,0.8,team_conflict,failed,0,1
STP000114,services,2016,0.0,5.2,6.6,0,0,12.6,1,3,3.4,0.0,32,angel,68000.0,3800.0,17.9,3.8,0,1,3,5.6,4.6,62,1.0,no_market_need,failed,0,1
STP000115,healthtech,2021,3.7,8.4,10.0,1,0,7.4,0,2,4.9,10.0,34,vc_series_a_plus,2567000.0,641800.0,4.0,4.1,0,0,0,7.1,3.2,70,8.2,ran_out_of_cash,failed,1,1
STP000116,tech_saas,2016,6.2,6.3,6.8,0,0,4.2,0,1,5.8,5.4,21,angel,65000.0,2600.0,25.0,7.3,1,1,0,5.6,5.1,58,6.5,survived,still_operating,1,0
STP000117,services,2012,2.0,4.3,8.0,0,0,7.5,0,2,2.6,3.9,34,angel,61000.0,2500.0,24.4,6.1,1,1,0,4.4,4.7,50,2.5,ran_out_of_cash,failed,0,1
STP000118,services,2010,8.6,1.5,8.1,2,1,12.7,1,2,2.7,0.2,29,angel,218000.0,14400.0,15.1,1.8,0,1,2,1.8,5.8,34,1.2,no_market_need,failed,0,1
STP000119,tech_saas,2015,6.4,6.5,5.6,0,0,7.9,0,3,7.5,5.8,25,bootstrapped,41000.0,2600.0,15.8,4.1,1,1,0,7.6,6.9,67,9.2,survived,still_operating,1,0
STP000120,tech_saas,2020,8.6,4.7,5.3,1,0,4.7,0,3,0.0,1.5,43,vc_seed,1779000.0,126200.0,14.1,7.3,1,0,2,4.1,8.6,40,6.0,survived,still_operating,1,0
STP000121,food_bev,2010,4.9,6.9,6.3,0,0,1.2,1,2,1.4,9.3,29,vc_series_a_plus,16320000.0,1115000.0,14.6,4.8,0,1,0,3.0,4.8,62,3.9,no_market_need,failed,0,1
STP000122,ecommerce,2008,7.0,7.4,10.0,0,0,8.3,0,2,9.1,5.7,31,bootstrapped,39000.0,3500.0,11.1,6.2,1,0,0,7.4,3.5,59,11.6,survived,acquired,1,0
STP000123,marketplace,2010,4.0,3.4,2.6,2,0,4.8,0,1,1.2,1.4,26,bootstrapped,38000.0,1700.0,22.4,4.9,0,1,0,7.5,2.2,46,11.5,survived,still_operating,1,0
STP000124,fintech,2021,7.7,3.9,6.9,0,0,0.7,1,1,5.0,3.1,28,vc_series_a_plus,3829000.0,166400.0,23.0,6.9,0,0,1,7.7,7.6,64,7.0,survived,still_operating,1,0
STP000125,services,2020,5.4,2.5,7.9,0,0,0.5,1,3,5.0,6.5,38,vc_series_a_plus,3033000.0,144800.0,20.9,3.9,1,1,1,6.1,6.4,58,6.5,no_market_need,failed,1,1
STP000126,agriculture,2013,2.7,6.6,4.2,0,1,7.2,1,1,5.6,5.3,26,bootstrapped,120000.0,5200.0,23.1,9.8,1,1,0,3.0,4.0,78,11.1,survived,still_operating,1,0
STP000127,ecommerce,2021,5.8,5.1,3.8,0,0,1.1,1,3,3.6,5.9,19,vc_seed,349000.0,18700.0,18.7,4.7,0,0,3,4.9,6.4,49,0.6,product_issues,failed,0,1
STP000128,consumer_app,2021,5.5,6.4,8.3,0,0,5.0,0,3,5.3,5.6,25,bootstrapped,19000.0,1000.0,19.0,4.3,1,1,2,6.6,7.5,68,12.5,survived,still_operating,1,0
STP000129,consumer_app,2010,3.1,1.6,5.7,0,0,2.8,0,4,6.9,5.5,49,bootstrapped,57000.0,3100.0,18.4,2.6,0,0,2,7.7,8.3,43,15.0,no_market_need,failed,1,1
